rep,split,block,stat,df,p_chi2,reject
0,train,A5_outcome_base,48.0908589984378,2,3.6074698783750136e-11,True
0,train,A2_outcome_disc,5.84778395499669,2,0.05372418655352729,False
0,train,A2_outcome_clarity,15.845366113664618,2,0.0003624286042602787,True
0,train,A2_outcome_len,94.62901163155334,2,0.0,True
0,train,A2_outcome_full,242.85736130121305,6,0.0,True
0,train,A5_outcome|A2_outcome_full,40.51819696243303,2,1.5906891359662723e-09,True
0,test,A5_outcome_base,18.411301778879285,2,0.00010047004953683825,True
0,test,A2_outcome_disc,1.1123269068512531,2,0.5734047432459104,False
0,test,A2_outcome_clarity,0.31603046074017,2,0.8538367776193361,False
0,test,A2_outcome_len,27.60562371945602,2,1.0127796691294932e-06,True
0,test,A2_outcome_full,41.98901621536402,6,1.8479759478218227e-07,True
0,test,A5_outcome|A2_outcome_full,3.1044483362153703,2,0.21177642325070667,False
1,train,A5_outcome_base,68.73436859715156,2,1.2212453270876722e-15,True
1,train,A2_outcome_disc,13.178575358845736,2,0.0013750190692382036,True
1,train,A2_outcome_clarity,20.894060597557818,2,2.9034368796421184e-05,True
1,train,A2_outcome_len,98.98262153964933,2,0.0,True
1,train,A2_outcome_full,270.68803664333814,6,0.0,True
1,train,A5_outcome|A2_outcome_full,34.821630718193695,2,2.7452314421694268e-08,True
1,test,A5_outcome_base,18.514926917459476,2,9.53969969297308e-05,True
1,test,A2_outcome_disc,4.4021518785474845,2,0.11068400500498032,False
1,test,A2_outcome_clarity,2.5275158790771024,2,0.2825900722083734,False
1,test,A2_outcome_len,11.871272365128307,2,0.002643540445131376,True
1,test,A2_outcome_full,54.091793757958975,6,7.069304031048773e-10,True
1,test,A5_outcome|A2_outcome_full,6.510260826477802,2,0.03857578954166141,True
2,train,A5_outcome_base,56.547228211758934,2,5.259126467649367e-13,True
2,train,A2_outcome_disc,31.00055714321701,2,1.8548745750468498e-07,True
2,train,A2_outcome_clarity,21.247879491460417,2,2.432660998297198e-05,True
2,train,A2_outcome_len,107.76840565057532,2,0.0,True
2,train,A2_outcome_full,295.1424267265991,6,0.0,True
2,train,A5_outcome|A2_outcome_full,33.21766832160859,2,6.121741302766992e-08,True
2,test,A5_outcome_base,7.092674653167721,2,0.028830041536793805,True
2,test,A2_outcome_disc,2.609108279632891,2,0.2712934670392273,False
2,test,A2_outcome_clarity,3.563083497698825,2,0.16837834992166878,False
